sample_id,source_version,question_summary,matched_topic,expected_topic,cardiology_relevance,topic_correctness,matched_term_role,error_type,keep_for_cardiology_dataset,keep_for_error_analysis,reason,original_note
q0344,llm_supervised,LLM primary topic: Antiarrhythmic drug selection based on QT interval effects during stress testing,atrial fibrillation,Atrial fibrillation antiarrhythmic drug selection / QT interval effect,yes,partial,primary_disease,partial_match,yes,yes,本题核心是根据 QT 间期变化判断房颤治疗相关抗心律失常药物；atrial fibrillation 是核心疾病背景，但真实考点更具体为抗心律失常药物选择和药理作用，因此标为 partial。,LLM relevance note: The question tests cardiology pharmacology by linking chronic atrial fibrillation treatment and QT interval behavior to identify the most likely drug.
q0539,llm_supervised,LLM primary topic: Advanced cardiac life support management of pulseless arrhythmia after STEMI,myocardial infarction,ACLS management of pulseless arrhythmia after STEMI,yes,partial,prerequisite,partial_match,yes,yes,本题核心是 STEMI 后无脉性心律失常的高级心脏生命支持处理；myocardial infarction 是关键前置事件和临床背景，但真实考点更具体为 ACLS 急救处理，因此标为 partial。,LLM relevance note: The question tests cardiology-specific resuscitation steps for a pulseless rhythm in the setting of STEMI.
q0094,llm_supervised,LLM primary topic: Aortic valve disease (early diastolic murmur) etiology,aortic stenosis,Aortic regurgitation etiology / Early diastolic blowing murmur,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是沿胸骨左缘放射的舒张早期吹风样杂音，提示主动脉瓣反流及其病因；aortic stenosis 与主动脉瓣反流不同，属于瓣膜病内部的主题误匹配。,LLM relevance note: The question tests the cause of a specific cardiac valve finding (early diastolic blowing murmur radiating along the left sternal border).
q0389,llm_supervised,LLM primary topic: Investigation for suspected pulmonary embolism,pulmonary embolism,Suspected pulmonary embolism / Diagnostic investigation,yes,correct,primary_disease,correct,yes,no,本题核心是疑似肺栓塞的下一步检查；matched_topic 为 pulmonary embolism，与主考点一致，可作为正确心血管/心肺血栓栓塞相关 QA 样本。,"LLM relevance note: The question tests the immediate next investigation for suspected recurrent pulmonary embolism, a cardiopulmonary thromboembolic condition."
q0099,llm_supervised,LLM primary topic: Management of bradycardia/ECG abnormality in a patient with congestive heart failure,hypertension,Symptomatic bradycardia / ECG-guided initial management in heart failure patient,yes,incorrect,past_history,past_history_distraction,yes,yes,本题核心是有充血性心衰背景的症状性心动过缓或 ECG 异常的初始处理；hypertension 只是背景病史，不是主考点。,LLM relevance note: The question tests an initial management step based on ECG findings in a symptomatic patient with known congestive heart failure.
q0367,llm_supervised,LLM primary topic: Cardiac cause of heart failure symptoms (pericardial thickening/calcifications),myocardial infarction,Constrictive pericarditis / Pericardial thickening and calcification,yes,partial,prerequisite,partial_match,yes,yes,本题核心是心包增厚/钙化导致的心衰样症状，提示缩窄性心包炎；myocardial infarction 可能是既往心脏病背景，但不是当前主考点，因此标为 partial。,"LLM relevance note: The question asks for the most likely explanation of cardiopulmonary symptoms with prior myocardial infarction and findings consistent with a cardiac etiology (eg, myocarditis/pericardial disease)."
q0352,llm_supervised,LLM primary topic: Cause of dilated cardiomyopathy/heart failure symptoms based on ECG/echo findings,hypertension,Dilated cardiomyopathy / Heart failure etiology,yes,incorrect,past_history,past_history_distraction,yes,yes,本题核心是根据 ECG/echo 判断扩张型心肌病或心衰病因；hypertension 只是可能的危险因素或背景病史，不是完整主考点，因此标为 incorrect。,LLM relevance note: The question centers on a cardiac diagnosis and its most likely cause using echocardiogram and ECG findings.
q0309,llm_supervised,LLM primary topic: Congenital heart disease diagnosis (PDA/VSD/ASD/Tetralogy of Fallot) based on murmur and symptoms,mitral regurgitation,Congenital heart disease diagnosis based on murmur and symptoms,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是根据杂音、震颤、呼吸困难和疲劳判断先天性心脏病类型；mitral regurgitation 与先天性心脏病鉴别主考点不一致，属于主题误匹配。,"LLM relevance note: The question asks for the most likely cardiac diagnosis using classic congenital heart findings (murmur with thrill, dyspnea, fatigue)."
q0135,llm_supervised,LLM primary topic: Carcinoid heart disease affecting pulmonic and tricuspid valves and associated lab abnormalities,aortic stenosis,Carcinoid heart disease / Right-sided valvular lesions,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是类癌心脏病累及肺动脉瓣和三尖瓣，并结合相关实验室异常判断；aortic stenosis 与右心瓣膜受累不一致，属于瓣膜病内部的主题误匹配。,LLM relevance note: The question tests a cardiac diagnosis (valvular involvement causing a new murmur) and asks which lab abnormality is most likely in that condition.
q0413,llm_supervised,LLM primary topic: Prehospital management of suspected acute coronary syndrome/MI,angina,Acute coronary syndrome / Prehospital MI management,yes,partial,manifestation,partial_match,yes,yes,本题核心是疑似急性冠脉综合征/心肌梗死的院前处理；angina 与缺血性胸痛表现相关，但真实考点更具体为 ACS/MI 处理策略，因此标为 partial。,LLM relevance note: The question tests cardiology-specific diagnosis and prehospital treatment strategy for ongoing ischemic chest pain with ECG findings.
q0022,llm_supervised,LLM primary topic: Coarctation of the aorta diagnosis,coarctation of the aorta,Coarctation of the aorta diagnosis,yes,correct,primary_disease,correct,yes,no,本题核心是根据上下肢血压差异和脉搏表现识别主动脉缩窄；matched_topic 与主考点一致，可作为正确心血管/大血管 QA 样本。,LLM relevance note: The question tests identification of a cardiac/vascular diagnosis (coarctation of the aorta) based on blood pressure and pulse findings.
q0373,llm_supervised,LLM primary topic: Cholesterol embolization causing acute kidney injury after cardiac catheterization,angina,Cholesterol embolization syndrome after cardiac catheterization,partial,incorrect,treatment_context,treatment_context_confusion,no,yes,本题核心是心导管术后出现胆固醇栓塞导致急性肾损伤；angina 只是进行心导管检查的临床背景/诱因，不是主考点，因此不纳入核心心血管 QA 数据集。,"LLM relevance note: The question tests a complication related to emergency cardiac catheterization for unstable angina, specifically the cause of the patient’s kidney findings."
q0235,llm_supervised,LLM primary topic: Mitral valve prolapse complications,mitral valve prolapse,Mitral valve prolapse complications,yes,correct,primary_disease,correct,yes,no,本题核心是二尖瓣脱垂的典型体征及相关并发症；matched_topic 与主考点一致，可作为正确心血管 QA 样本。,LLM relevance note: The question describes a classic mitral valve prolapse murmur and asks which complication is not associated with the underlying cardiac condition.
q0274,llm_supervised,LLM primary topic: Cardiac arrest decompensation association,heart failure,Cardiac arrest / Cardiovascular decompensation mechanism,yes,partial,prerequisite,partial_match,yes,yes,本题核心是心脏骤停或复苏过程中循环失代偿相关机制；heart failure 与心脏失代偿相关，但不是完整主考点，因此标为 partial。,"LLM relevance note: The question tests a cardiology-related mechanism/association tied to cardiac arrest and decompensation during resuscitation, with heart failure and cardiac arrest central to the scenario."
q0063,llm_supervised,LLM primary topic: Stable angina prevention via beta-1 adrenergic blockade,coronary artery disease,Stable angina treatment mechanism / Beta-1 blockade in coronary artery disease,yes,partial,primary_disease,partial_match,yes,yes,本题核心是通过 β1 受体阻滞减少心肌耗氧量以预防稳定型心绞痛；coronary artery disease 是核心疾病背景，但真实考点更具体为稳定型心绞痛的药物机制，因此标为 partial。,LLM relevance note: The question tests a cardiology treatment mechanism for preventing exertional chest pain in coronary artery disease (stable angina).
q0498,llm_supervised,LLM primary topic: Peripartum cardiomyopathy/mitral regurgitation mechanism,mitral regurgitation,Peripartum cardiomyopathy with functional mitral regurgitation,yes,partial,manifestation,partial_match,yes,yes,本题核心是围产期心肌病导致心室扩大/瓣环扩张并出现功能性二尖瓣反流及其恢复机制；mitral regurgitation 是关键听诊表现和功能性结果，但不是完整主考点，因此标为 partial。,"LLM relevance note: The question tests the cardiac mechanism behind postpartum auscultation findings and their resolution, focusing on mitral valve/annular changes."
q0472,llm_supervised,LLM primary topic: Post-myocardial infarction cardioprotection/arrhythmia mechanism involving IL-1β and DHA,arrhythmia,Post-myocardial infarction cardioprotection / Arrhythmia mechanism involving IL-1β and DHA,yes,partial,manifestation,partial_match,yes,yes,本题核心是心肌梗死后 IL-1β 与 DHA 相关的心脏保护和心律失常机制；arrhythmia 是相关结局/表现之一，但真实考点更具体为 MI 后心脏保护机制，因此标为 partial。,LLM relevance note: The question tests a cardiology-related conclusion about cardioprotective effects after MI and arrhythmia mechanisms.
q0193,llm_supervised,LLM primary topic: Congenital cardiovascular defect associated with neuromuscular findings,pulmonary embolism,Congenital cardiovascular defect associated with neuromuscular syndrome,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是根据神经肌肉表现判断相关先天性心血管缺陷，并需要超声心动图诊断；pulmonary embolism 与先天性心血管缺陷不一致，属于主题误匹配。,LLM relevance note: The question directly asks which cardiovascular defect the clinician is concerned about and requires echocardiogram-based cardiac diagnosis.
q0040,llm_supervised,LLM primary topic: Infective endocarditis after prosthetic aortic valve replacement (causal organism characteristics),aortic stenosis,Prosthetic valve infective endocarditis / Causative organism characteristics,yes,partial,prerequisite,partial_match,yes,yes,本题核心是主动脉瓣置换术后人工瓣感染性心内膜炎及其致病菌特征；aortic stenosis 是导致主动脉瓣置换的原始瓣膜病背景，不是当前完整主考点，因此标为 partial。,LLM relevance note: The question tests a cardiology-related complication—prosthetic valve endocarditis—and asks about the causative organism.
q0282,llm_supervised,LLM primary topic: Biomarkers/enzymes for diagnosing recurrent myocardial infarction after angioplasty,myocardial infarction,Recurrent myocardial infarction diagnosis / Cardiac biomarkers after angioplasty,yes,partial,primary_disease,partial_match,yes,yes,本题核心是血管成形术后疑似再发心肌梗死时选择合适心肌损伤标志物；myocardial infarction 是核心疾病背景，但真实考点更具体为再梗死的生物标志物诊断，因此标为 partial。,LLM relevance note: The question tests cardiology-specific diagnosis using cardiac enzyme biomarkers in the setting of acute myocardial infarction and recurrent chest pain.
q0150,llm_supervised,LLM primary topic: Heart failure etiology based on pressure-volume relationship,heart failure,Heart failure etiology based on pressure-volume relationship,yes,partial,primary_disease,partial_match,yes,yes,本题核心是根据心导管/左室压力-容量关系判断心衰病因；heart failure 是核心疾病背景，但真实考点更具体为血流动力学机制和病因判断，因此标为 partial。,LLM relevance note: The question tests a cardiology concept—identifying the cause of heart failure using cardiac catheterization/left ventricular pressure-volume findings.
q0424,llm_supervised,LLM primary topic: Congenital heart disease physiology (oxygen tension profiles),mitral regurgitation,Congenital heart disease physiology / Oxygen saturation step-up profile,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是根据儿童全收缩期杂音和氧分压/氧饱和度变化判断先天性心脏病生理；mitral regurgitation 与主考点不一致，属于先心病/血流动力学题中的主题误匹配。,LLM relevance note: The question tests cardiac physiology by asking for oxygen tension profiles in a child with a characteristic holosystolic murmur.
q0321,llm_supervised,LLM primary topic: Peri-procedural management for dental extraction in a patient with prior aortic valve replacement/ischemic heart disease,aortic stenosis,Infective endocarditis prophylaxis before dental procedure after aortic valve replacement,yes,partial,prerequisite,partial_match,yes,yes,本题核心是主动脉瓣置换术后患者拔牙前是否需要感染性心内膜炎预防性处理；aortic stenosis 是导致瓣膜置换的原始背景疾病，但真实主考点是围操作期 IE 预防，因此标为 partial。,"LLM relevance note: The question asks the most appropriate next management step before a procedure in a patient with significant cardiac history (aortic valve replacement/aortic stenosis), indicating a cardiology-related peri-procedural decision."
q0316,llm_supervised,LLM primary topic: Inherited cardiomyopathy genetics (hypertrophic cardiomyopathy) and affected cardiac structures,cardiac arrest,Hypertrophic cardiomyopathy / Sarcomere protein mutation,yes,partial,complication,partial_match,yes,yes,本题核心是遗传性肥厚型心肌病及其受累结构/肌节蛋白突变；cardiac arrest 可作为肥厚型心肌病导致猝死的严重并发结局，但不是完整主考点，因此标为 partial。,LLM relevance note: The question tests a cardiology diagnosis (inherited hypertrophic cardiomyopathy) and the genetic structure affected (sarcomere proteins).
q0453,llm_supervised,LLM primary topic: Management of post–myocardial infarction pericarditis (ECG changes and appropriate treatment),myocardial infarction,Post-myocardial infarction pericarditis / Dressler syndrome management,yes,partial,prerequisite,partial_match,yes,yes,本题核心是心肌梗死后心包炎的 ECG 表现和治疗处理；myocardial infarction 是关键前置事件，但真实主考点是 MI 后心包炎，因此标为 partial。,LLM relevance note: The question tests cardiology diagnosis and treatment based on chest pain after MI with characteristic ECG findings and pericardial signs.
q0441,llm_supervised,LLM primary topic: Eplerenone effects on mortality and cardiovascular outcomes after acute myocardial infarction with left ventricular dysfunction/heart failure,heart failure,Eplerenone after acute myocardial infarction with LV dysfunction / Mortality and cardiovascular outcomes,yes,partial,primary_disease,partial_match,yes,yes,本题核心是急性心肌梗死合并左室功能障碍/心衰后 eplerenone 对死亡率和心血管结局的影响；heart failure 是核心临床背景，但真实考点更具体为药物临床试验结局，因此标为 partial。,LLM relevance note: The question tests interpretation of a cardiology clinical trial evaluating a cardiac drug’s impact on mortality and cardiovascular endpoints.
q0185,llm_supervised,LLM primary topic: Stable angina symptom management in coronary artery disease,coronary artery disease,Stable angina symptom management in coronary artery disease,yes,partial,primary_disease,partial_match,yes,yes,本题核心是冠状动脉疾病/稳定型心绞痛患者劳力性胸痛的症状改善治疗；coronary artery disease 是核心疾病背景，但真实考点更具体为稳定型心绞痛治疗策略，因此标为 partial。,LLM relevance note: The question tests cardiology concepts by asking which intervention will most likely improve exertional chest pain in a patient with coronary artery disease/angina.
q0295,llm_supervised,LLM primary topic: Embolic arterial pathway from atrial fibrillation to gastric necrosis,atrial fibrillation,Atrial fibrillation embolism / Arterial pathway to gastric ischemia,yes,partial,prerequisite,partial_match,yes,yes,本题核心是房颤来源栓子导致胃缺血/坏死时经过的动脉路径；atrial fibrillation 是关键栓塞来源和前置机制，但真实考点更具体为血管解剖路径，因此标为 partial。,LLM relevance note: The question tests the mechanism of embolic occlusion originating from atrial fibrillation and the specific arterial route to the stomach.
q0098,llm_supervised,LLM primary topic: Valvular heart disease diagnosis (murmur/outflow obstruction vs calcification/incompetence),hypertension,Valvular heart disease diagnosis based on murmur and outflow obstruction,yes,incorrect,past_history,past_history_distraction,yes,yes,本题核心是根据杂音、流出道梗阻/瓣膜钙化或关闭不全等线索判断瓣膜性心脏病；hypertension 只是可能的背景危险因素，不是主考点。,LLM relevance note: The question asks for the most likely cardiac diagnosis based on a murmur and ECG/troponin findings with valvular/outflow tract differential options.
q0360,llm_supervised,LLM primary topic: Cause of progressive dyspnea/orthopnea with cardiomyopathy/heart failure findings,pulmonary embolism,Cardiomyopathy / Heart failure causing progressive dyspnea and orthopnea,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是进行性呼吸困难、端坐呼吸、水肿和左室增大等心肌病/心衰表现的病因判断；pulmonary embolism 与主考点不一致，属于心肺症状题中的主题误匹配。,"LLM relevance note: The question asks for the most likely cause of symptoms based on cardiac findings (EKG left ventricular enlargement, edema, orthopnea) and cardiomyopathy/heart failure options."
