sample_id,bucket,question,matched_topic,graph_relevance,path_explainability,main_error_type,notes
q0023,low_consistency,"A two-month-old female presents to the emergency department for difficulty feeding. The patient was born at 38 weeks gestation to a 29-year-old primigravid via vaginal delivery. The newborn period has thus far been uncomplicated. The patient has been exclusively breastfed since birth. Her parents report that feeding had previously seemed to be going well, and the patient has been gaining weight appropriately. Over the past several days, the patient’s mother has noticed that the patient seems to tire out before the end of the feeding. She has also noticed that the patient begins to appear short of breath and has a bluish discoloration of her lips. The patient’s height and weight were in the 20th and 10th percentile at birth, respectively. Her current height and weight are in the 20th and 15th percentiles, respectively. Her temperature is 98.0°F (36.7°C), blood pressure is 60/48 mmHg, pulse is 143/min, and respirations are 40/min. On physical exam, the patient is in no acute distress and appears well developed. A systolic crescendo-decrescendo murmur can be heard at the left upper sternal border. Her abdomen is soft, non-tender, and non-distended. During the abdominal exam, the patient begins crying and develops cyanosis of the perioral region.

Which of the following is the best initial test to diagnose this patient’s condition?",tetralogy of Fallot,yes,yes,none,"The question is directly consistent with tetralogy of Fallot, including cyanotic episodes, feeding difficulty, systolic murmur at the left upper sternal border, and exertional/crying-induced cyanosis. A graph linking right ventricular outflow obstruction, right-to-left shunting, hypoxemia, and cyanosis can support the diagnostic reasoning."
q0007,low_consistency,"A woman with coronary artery disease is starting to go for a walk. As she begins, her heart rate accelerates from a resting pulse of 60 bpm until it reaches a rate of 120 bpm, at which point she begins to feel a tightening in her chest. She stops walking to rest and the tightening resolves. This has been happening to her consistently for the last 6 months. Which of the following is a true statement?",coronary artery disease,yes,partial,over_generalization,"The topic is clearly coronary artery disease with stable exertional angina. However, the question likely tests the relationship between increased heart rate, myocardial oxygen demand, reduced diastolic perfusion time, and ischemic chest pain. A generic coronary artery disease graph is relevant but only partially explanatory unless it captures the exertion-demand-ischemia mechanism."
q0001,low_consistency,"A 68-year-old man presents to the emergency department with leg pain. He states that the pain started suddenly while he was walking outside. The patient has a past medical history of diabetes, hypertension, obesity, and atrial fibrillation. His temperature is 99.3°F (37.4°C), blood pressure is 152/98 mmHg, pulse is 97/min, respirations are 15/min, and oxygen saturation is 99% on room air. Physical exam is notable for a cold and pale left leg. The patient’s sensation is markedly diminished in the left leg when compared to the right, and his muscle strength is 1/5 in his left leg. Which of the following is the best next step in management?",hypertension,partial,no,topic_mismatch,"The matched topic is hypertension, but the main problem is acute limb ischemia, likely embolic from atrial fibrillation. Hypertension is only a background risk factor and does not explain the cold pale leg, sensory loss, weakness, or urgent management decision."
q0002,low_consistency,A 6-year-old male who recently immigrated to the United States from Asia is admitted to the hospital with dyspnea. Physical exam reveals a gray pseudomembrane in the patient's oropharynx along with lymphadenopathy. The patient develops myocarditis and expires on hospital day 5. Which of the following would have prevented this patient's presentation and decline?,myocarditis,partial,partial,topic_mismatch,"The case includes myocarditis, but the main diagnosis is diphtheria and the question asks about prevention by vaccination. A myocarditis-centered graph captures the fatal cardiac complication but misses the infectious cause and preventive mechanism."
q0050,low_consistency,"One day after doctors helped a 28-year-old primigravid woman deliver a 4700 g (10 lb 6 oz) boy, he has bluish discoloration of his lips and fingernails. Oxygen saturation on room air is 81%. Examination shows central cyanosis. A continuous machine-like murmur is heard over the left upper sternal border. A single S2 heart sound is present. Supplemental oxygen does not improve the cyanosis. Echocardiography shows the pulmonary artery arising from the posterior left ventricle and the aorta arising from the right ventricle with active blood flow between the right and left ventricles. Further evaluation of the mother is most likely to show which of the following?",patent ductus arteriosus,partial,partial,topic_mismatch,"The continuous machine-like murmur and mixing lesion involve ductus-dependent circulation, but the core diagnosis is transposition of the great arteries in an infant of a diabetic mother. A graph centered on patent ductus arteriosus alone may describe part of the compensatory mixing but not the main congenital defect or maternal risk factor."
q0022,diverse_topics,"A 5-year-old boy presents to his pediatrician for a well-child visit. His mother reports him to be doing well and has no concerns. The boy was born at 39 weeks gestation via spontaneous vaginal delivery. He is up to date on all vaccines and is meeting all developmental milestones. On physical exam, he is noted to have a right upper extremity blood pressure of 150/80 mm Hg. 2+ radial pulses and trace femoral pulses are felt. Cardiac auscultation reveals a regular rate and rhythm with a normal S1 and S2. A 2/6 long systolic murmur with systolic ejection click is heard over left sternal border and back. The point of maximal impact is normal Which of the following is the most likely diagnosis?",coarctation of the aorta,yes,yes,none,"The question is directly consistent with coarctation of the aorta, including upper-extremity hypertension, diminished femoral pulses, and systolic murmur radiating to the back. A graph linking aortic narrowing, reduced distal perfusion, pulse discrepancy, and hypertension can support the diagnosis."
q0162,diverse_topics,"A 29-year-old nulliparous woman is found upon transthoracic echocardiography to have a dilated aorta and mitral valve prolapse. The patient has a history of joint pain, and physical examination reveals pectus excavatum and stretch marks on the skin. She does not take any medications and has no history of past drug use. The patient’s findings are most likely associated with which of the following underlying diagnoses?",mitral valve prolapse,partial,partial,topic_mismatch,"The case includes mitral valve prolapse, but the main diagnosis is Marfan syndrome or a connective tissue disorder causing aortic dilation, mitral valve prolapse, pectus excavatum, and skin findings. A graph centered only on mitral valve prolapse captures one manifestation but misses the underlying systemic mechanism."
q0011,diverse_topics,"A 34-year-old Caucasian female presents at the ER with fever and sharp pain in her chest upon coughing and inhalation. Three weeks earlier she presented to her rheumatologist with a butterfly rash, joint pain and fatigue and was given a diagnosis of systemic lupus erythematosus. A friction rub is present upon physical exam. Which of the following do you most suspect in this patient?",pericarditis,yes,yes,none,"The question is directly related to pericarditis, with pleuritic chest pain, fever, friction rub, and systemic lupus erythematosus as the likely cause. A graph linking autoimmune inflammation, pericardial involvement, friction rub, and pleuritic chest pain can support the answer."
q0140,diverse_topics,"An 80-year-old woman presents with general malaise and low-grade fever. Physical examination reveals several retinal hemorrhages with pale centers, erythematous nodules on palms that are not painful, and splinter hemorrhages under her fingernails. Echocardiogram shows vegetations on the mitral valve. Blood culture indicates gram-positive bacteria which are catalase negative and able to grow in 40% bile; however, not in 6.5% NaCl. In addition to endocarditis, the doctor is concerned that the patient may also be suffering from which of the following medical conditions?",infective endocarditis,yes,partial,weak_grounding,"The topic is clearly infective endocarditis, with Roth spots, Janeway lesions, splinter hemorrhages, and mitral valve vegetations. However, the question also tests the association of Streptococcus gallolyticus/bovis with colorectal cancer, so a graph focused only on endocarditis may not fully explain the additional condition."
q0003,diverse_topics,"A male neonate is being examined by a pediatrician. His mother informs the doctor that she had a mild fever with rash, muscle pain, and swollen and tender lymph nodes during the second month of gestation. The boy was born at 39 weeks gestation via spontaneous vaginal delivery with no prenatal care. On physical examination, the neonate has normal vital signs. Retinal examination reveals the findings shown in the image. Which of the following congenital heart defects is most likely to be present in this neonate?",pulmonary embolism,no,no,topic_mismatch,"The matched topic pulmonary embolism is unrelated to the neonatal congenital infection scenario. The case most likely points to congenital rubella or a TORCH infection, which is associated with patent ductus arteriosus and other congenital heart defects. The generated topic would not support the correct diagnostic reasoning."
