sample_id,source_version,question_summary,matched_topic,expected_topic,cardiology_relevance,topic_correctness,matched_term_role,error_type,keep_for_cardiology_dataset,keep_for_error_analysis,reason,original_note
q0163,baseline_no_llm,35yo F with massive PE in shock; given thrombin + factor Xa inhibitor; identify drug.,pulmonary embolism,Thrombin + Factor Xa Inhibitor,yes,partial,prerequisite,partial_match,yes,yes,本题核心是识别用于治疗 massive PE 的药物；matched_topic 为 pulmonary embolism，与主考点不一致，属于明显主题误匹配。,
q0714,baseline_no_llm,2yo boy with easy fatigability and harsh holosystolic murmur at LLSB; oxygen tension profile in VSD.,mitral regurgitation,Ventricular Septal Defect,yes,partial,prerequisite,partial_match,yes,yes,本题核心是室间隔缺损的氧 tension profile；matched_topic 为 mitral regurgitation，与主考点不一致，属于明显主题误匹配。,
q0918,baseline_no_llm,62yo F routine exam with HTN and S4 gallop; paternal early MI; next step in management.,myocardial infarction,Hypertension management / Cardiovascular risk assessment,yes,partial,family_history,family_history_distraction,yes,yes,本题核心是高血压患者伴 S4 奔马律时的管理及心血管风险评估；paternal early MI 属于家族史风险因素，matched_topic 为 myocardial infarction 不是当前主考点，因此标为 partial。,
q0348,baseline_no_llm,78yo M post total hip replacement with sudden dyspnea/chest pain; prior DVT; likely PE.,pulmonary embolism,Pulmonary embolism after surgery,yes,correct,primary_disease,correct,yes,no,本题核心是术后突发呼吸困难和胸痛，结合既往 DVT 高度提示肺栓塞；matched_topic 与主考点一致，因此可作为正确心血管/血管相关 QA 样本。,
q0899,baseline_no_llm,74yo M post-cholecystectomy unresponsive with severe hypoxia despite NRB; CAD/HTN history.,hypertension,Postoperative severe hypoxemia / Airway or respiratory failure,partial,incorrect,past_history,past_history_distraction,no,yes,本题核心是术后意识障碍和严重低氧血症的处理或病因判断；hypertension 只是既往病史背景，不是主考点，因此不适合纳入核心心血管 QA 数据集。,
q0159,baseline_no_llm,"52yo F with progressive DOE, loud P2, RV hypertrophy, elevated PA pressure; PAH gene mutation.",heart failure,Pulmonary arterial hypertension / BMPR2 mutation,yes,partial,complication,partial_match,yes,yes,本题核心是肺动脉高压：活动后呼吸困难、P2 亢进、右室肥厚和肺动脉压升高均支持 PAH；heart failure 与右心负荷/右心衰表现相关，但不是主考点，因此标为 partial。,
q0220,baseline_no_llm,"55yo M with severe aortic regurgitation due to bicuspid aortic valve; diastolic murmur, bounding pulses; treatment.",aortic stenosis,Aortic regurgitation due to bicuspid aortic valve,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是二叶式主动脉瓣导致的主动脉瓣反流及治疗；matched_topic 为 aortic stenosis，与主动脉瓣反流不同，属于瓣膜病内部的主题误匹配。,
q0781,baseline_no_llm,48yo M with restrictive PFTs after radiochemo for esophageal cancer; underlying lung condition.,tetralogy of Fallot,Radiation-induced pulmonary fibrosis / Restrictive lung disease,no,incorrect,distractor,out_of_scope,no,yes,本题核心是食管癌放化疗后限制性通气功能障碍，提示放射性肺纤维化等肺部疾病；tetralogy of Fallot 与主考点无关，不适合纳入心血管 QA 数据集。,
q0344,baseline_no_llm,"40yo postpartum AA F with dyspnea, S3, edema, EF 38%; likely peripartum cardiomyopathy.",pulmonary embolism,Peripartum cardiomyopathy / Systolic heart failure,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是产后女性出现呼吸困难、S3、水肿和射血分数降低，提示围产期心肌病/收缩性心衰；matched_topic 为 pulmonary embolism，与主考点不一致，属于主题误匹配。,
q0925,baseline_no_llm,"Preconception counseling: brother died of HF, nephew with muscle weakness; mother non-carrier (X-linked).",heart failure,Duchenne muscular dystrophy inheritance / X-linked genetic counseling,partial,partial,manifestation,manifestation_vs_cause,no,yes,本题核心是 X 连锁遗传病的孕前咨询，家族中 HF 和肌无力提示肌营养不良相关表现；heart failure 是疾病表现/结局之一，但不是主考点，因此不适合纳入核心心血管 QA 数据集。,
q0094,baseline_no_llm,"78yo M with prior porcine mitral valve, HF symptoms, decrescendo-crescendo apical diastolic murmur; bioprosthetic dysfunction.",hypertension,Bioprosthetic mitral valve dysfunction / Mitral stenosis,yes,incorrect,past_history,past_history_distraction,yes,yes,本题核心是既往生物瓣二尖瓣置换后出现心衰症状和舒张期杂音，提示生物瓣功能障碍/二尖瓣狭窄；hypertension 只是背景病史，不是主考点。,
q0389,baseline_no_llm,"32yo M with renal mass, varicocele, hemangioblastoma; family history pheo; VHL-related RCC.",myocardial infarction,Von Hippel-Lindau disease / Renal cell carcinoma,no,incorrect,distractor,out_of_scope,no,yes,本题核心是肾肿块、精索静脉曲张、血管母细胞瘤和嗜铬细胞瘤家族史提示 VHL 相关肾细胞癌；myocardial infarction 与主考点无关，属于完全错误匹配。,
q0099,baseline_no_llm,"55yo M with RUQ pain, bronzed skin, cardiomyopathy, arthralgias; hemochromatosis long-term complication.",cardiomyopathy,Hemochromatosis / Restrictive or dilated cardiomyopathy complication,partial,partial,manifestation,manifestation_vs_cause,no,yes,本题核心是血色病及其长期并发症；cardiomyopathy 是血色病的心脏表现/并发症之一，但不是原发主考点，因此标为 partial，不建议纳入核心心血管 QA 数据集。,
q0367,baseline_no_llm,"64yo M with retrosternal pain radiating to back, epigastric tenderness; chest CT suggestive of dissection.",angina,Aortic dissection,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是胸背部放射痛和 CT 提示的主动脉夹层；angina 与胸痛表现相关但不是主考点，属于胸痛主题下的错误匹配。,
q0867,baseline_no_llm,67yo M with progressive cognitive decline and falls; HTN/CAD; head CT suggests subdural hematoma.,coronary artery disease,Chronic subdural hematoma,no,incorrect,past_history,past_history_distraction,no,yes,本题核心是进行性认知下降、跌倒和头部 CT 提示的慢性硬膜下血肿；coronary artery disease 只是既往病史背景，不是主考点，不适合纳入心血管 QA 数据集。,
q0352,baseline_no_llm,"72yo M with HTN/DM, dyspnea, periorbital and peripheral edema, crackles, hepatomegaly; likely heart failure.",hypertension,Heart failure / Congestive heart failure,yes,partial,past_history,partial_match,yes,yes,本题核心是呼吸困难、水肿、肺部湿啰音和肝大提示充血性心力衰竭；hypertension 是重要危险因素和既往病史，但不是完整主考点，因此标为 partial。,
q0618,baseline_no_llm,"65yo M post-cardiac cath with decreased UO, livedo reticularis, blue toe, eosinophilia; cholesterol embolism.",angina,Cholesterol embolization syndrome after cardiac catheterization,partial,incorrect,treatment_context,treatment_context_confusion,no,yes,本题核心是心导管术后少尿、网状青斑、蓝趾和嗜酸细胞增多提示胆固醇栓塞综合征；angina 只是心导管检查的临床背景，不是主考点，因此不适合作为核心心血管 QA 样本。,
q0270,baseline_no_llm,"80yo M with aortic stenosis and ESRD; melena, microcytic anemia; angiodysplasia (Heyde syndrome).",aortic stenosis,Heyde syndrome / Aortic stenosis-associated angiodysplasia,yes,partial,prerequisite,partial_match,yes,yes,本题核心是主动脉瓣狭窄相关的消化道血管发育不良/Heyde 综合征；aortic stenosis 是该综合征的关键前置疾病，但真实考点是并发综合征，因此标为 partial。,
q0826,baseline_no_llm,57yo F with type 2 DM and prior MI; HbA1c 7.9%; question about exenatide use.,myocardial infarction,Type 2 diabetes treatment with GLP-1 receptor agonist / Exenatide use,partial,incorrect,past_history,past_history_distraction,no,yes,本题核心是 2 型糖尿病患者使用 exenatide/GLP-1 受体激动剂的适应证或用药判断；prior MI 只是既往心血管病史背景，不是主考点，因此不纳入核心心血管 QA 数据集。,
q0044,baseline_no_llm,"27yo F with strep pharyngitis (exudative tonsillitis, tender lymphadenopathy); untreated complication.",pulmonary embolism,Acute rheumatic fever after untreated group A streptococcal pharyngitis,partial,incorrect,distractor,vague_topic,yes,yes,本题核心是 A 组链球菌咽炎未治疗后的并发症，常见考点为急性风湿热及其心脏受累；matched_topic 为 pulmonary embolism，与主考点不一致，但该并发症可涉及心脏，因此保留为心血管相关错误分析样本。,
q0747,baseline_no_llm,"43yo M with painless jaundice, weight loss, biliary stricture, CA 19-9+; predisposing factor for cholangiocarcinoma.",angina,Cholangiocarcinoma risk factors,no,incorrect,distractor,out_of_scope,no,yes,本题核心是胆管癌的危险因素；angina 与题干主考点无关，属于完全错误匹配，不适合纳入心血管 QA 数据集。,
q0470,baseline_no_llm,"57yo M with stable exertional chest pain; DM, smoker, family history of MI; etiology of condition.",myocardial infarction,Stable angina due to coronary atherosclerosis,yes,partial,family_history,partial_match,yes,yes,本题核心是稳定型劳力性胸痛/稳定型心绞痛的病因，通常指向冠状动脉粥样硬化；myocardial infarction 出现在家族史中且与冠心病风险相关，但不是当前主考点，因此标为 partial。,
q0549,baseline_no_llm,"66yo M with decompensated HF, EF 20%, cardiogenic shock unresponsive to dobutamine; next step.",heart failure,Cardiogenic shock in decompensated heart failure / Mechanical circulatory support,yes,partial,primary_disease,partial_match,yes,yes,本题核心是失代偿心衰合并心源性休克且多巴酚丁胺无效后的下一步处理；heart failure 是核心疾病背景，但真实考点更具体为心源性休克处理，因此标为 partial。,
q0127,baseline_no_llm,"97yo M with urinary retention, PSA 6, hard prostate nodules; next step in workup.",myocardial infarction,Prostate cancer workup / Prostate biopsy,no,incorrect,distractor,out_of_scope,no,yes,本题核心是尿潴留、PSA 升高和前列腺硬结提示前列腺癌的下一步检查；myocardial infarction 与主考点无关，属于完全错误匹配。,
q0387,baseline_no_llm,35yo M post-MVA with anterior spinal artery syndrome; suggestive exam findings.,coronary artery disease,Anterior spinal artery syndrome / Spinal cord infarction,no,incorrect,distractor,out_of_scope,no,yes,本题核心是车祸后前脊髓动脉综合征及其神经系统查体表现；coronary artery disease 与主考点无关，不适合纳入心血管 QA 数据集。,
q0080,baseline_no_llm,"49yo M with cough, pleuritic pain, alcoholic, loculated pleural effusion; likely empyema.",hypertension,Empyema / Complicated parapneumonic effusion,no,incorrect,past_history,past_history_distraction,no,yes,本题核心是咳嗽、胸膜痛和包裹性胸腔积液提示脓胸/复杂性肺炎旁积液；hypertension 只是可能的背景病史，不是主考点。,
q0565,baseline_no_llm,"53yo F with progressive painful peripheral neuropathy, DM, recent MI; next step in management.",myocardial infarction,Diabetic peripheral neuropathy management,partial,incorrect,past_history,past_history_distraction,no,yes,本题核心是糖尿病患者进行性疼痛性周围神经病变的处理；recent MI 只是近期既往心血管事件，会影响用药安全性但不是主考点，因此不纳入核心心血管 QA 数据集。,
q0300,baseline_no_llm,"2-month-old girl with hypoxic spell, perioral cyanosis, harsh crescendo-decrescendo murmur at LUSB; tet spell.",tetralogy of Fallot,Tetralogy of Fallot / Hypercyanotic spell,yes,correct,primary_disease,correct,yes,no,本题核心是婴儿缺氧发作、口周发绀和 LUSB 喷射性杂音，符合法洛四联症相关 tet spell；matched_topic 与主考点一致，可作为正确心血管 QA 样本。,
q0849,baseline_no_llm,"Cyanotic newborn with single S2, machine-like murmur, 'egg-shaped' heart; likely transposition of great arteries.",atrial fibrillation,Transposition of the great arteries,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是发绀新生儿、单一 S2、机器样杂音和 egg-shaped heart，提示大动脉转位；atrial fibrillation 与主考点无关，属于先天性心脏病题中的错误匹配。,
q0643,baseline_no_llm,"75yo M with progressive DOE, fine crackles, clubbing, traction bronchiectasis on HRCT; likely IPF.",hypertension,Idiopathic pulmonary fibrosis / Usual interstitial pneumonia,no,incorrect,past_history,past_history_distraction,no,yes,本题核心是进行性呼吸困难、爆裂音、杵状指和 HRCT 牵拉性支气管扩张，提示特发性肺纤维化/UIP；hypertension 只是可能的背景病史，不是主考点，不适合纳入心血管 QA 数据集。,
q0633,baseline_no_llm,8yo with accidental digoxin overdose; identify expected electrolyte abnormality.,heart failure,Digoxin toxicity / Hyperkalemia,partial,incorrect,treatment_context,treatment_context_confusion,no,yes,本题核心是地高辛中毒及其预期电解质异常，通常为高钾血症；heart failure 只是地高辛常见用药背景，不是本题主考点，因此不纳入核心心血管 QA 数据集。,
q0370,baseline_no_llm,"54yo M with progressive ascending weakness, areflexia, post-URI; CSF protein high; GBS-related risk.",pulmonary embolism,Guillain-Barré syndrome / Respiratory failure risk,no,incorrect,distractor,out_of_scope,no,yes,本题核心是上呼吸道感染后进行性上行性无力、腱反射消失和脑脊液蛋白升高，提示吉兰-巴雷综合征及其相关风险；pulmonary embolism 与主考点无关，属于完全错误匹配。,
q0591,baseline_no_llm,47yo M with midsystolic click and late-systolic murmur dynamic with maneuvers; mitral valve prolapse echo finding.,mitral valve prolapse,Mitral valve prolapse / Echocardiographic finding,yes,correct,primary_disease,correct,yes,no,本题核心是收缩中期喀喇音和收缩晚期杂音随动作变化，提示二尖瓣脱垂，并询问其超声心动图表现；matched_topic 与主考点一致，可作为正确心血管 QA 样本。,
q0196,baseline_no_llm,"35yo soldier with severe hypothermia (27.4°C), AF on ECG, fixed pupils; rewarming management.",atrial fibrillation,Severe hypothermia management / Rewarming,partial,incorrect,manifestation,manifestation_vs_cause,no,yes,本题核心是重度低体温患者的复温处理；atrial fibrillation 是低体温相关心电表现之一，不是主考点，因此不纳入核心心血管 QA 数据集。,
q0721,baseline_no_llm,67yo F post-CABG on prolonged nitroprusside; rising lactate and metabolic acidosis; cyanide toxicity.,hypertension,Nitroprusside-induced cyanide toxicity,partial,incorrect,treatment_context,treatment_context_confusion,no,yes,本题核心是 CABG 后长期使用 nitroprusside 出现乳酸升高和代谢性酸中毒，提示氰化物中毒；hypertension 只是 nitroprusside 的用药背景，不是主考点。,
q0071,baseline_no_llm,"61yo M with severe chronic aortic regurgitation, water-hammer pulse; identify indication for AVR.",hypertension,Severe chronic aortic regurgitation / Aortic valve replacement indication,yes,incorrect,distractor,vague_topic,yes,yes,本题核心是重度慢性主动脉瓣反流及主动脉瓣置换术指征；hypertension 与血流动力学背景可能相关，但不是主考点，属于瓣膜病题中的主题误匹配。,
q0046,baseline_no_llm,"74yo M with AF on dabigatran (missed doses); acute abdominal pain, bloody stools; embolic mesenteric ischemia.",hypertension,Acute mesenteric ischemia due to atrial fibrillation embolism,partial,incorrect,distractor,vague_topic,no,yes,本题核心是房颤抗凝漏服后发生栓塞性急性肠系膜缺血；hypertension 不是主考点，属于错误匹配。该题虽然有 AF 背景，但主要考点偏消化道/血管栓塞急症，不纳入核心心血管 QA 数据集。,
