sample_id,graph_file,result_index,matched_topic,status,node_count,edge_count,node_validity_rate,edge_validity_rate,valid_graph_rate,isolated_node_ratio,duplicate_node_ratio,duplicate_edge_ratio,process_object_connectivity_rate,state_object_attachment_rate,valid_type_transition_rate,explanation_path_rate,object_grounding_rate,process_grounding_rate,state_grounding_rate,overall_grounding_rate,answer_concept_coverage,graph_evidence_usage_rate,path_support_rate
q0010,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0010.json,10,aortic stenosis,matched,9,7,1.0000,1.0000,1.0000,0.1111,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.6667,0.3333,0.4444,0.5833,0.4444,1.0000
q0011,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0011.json,11,pericarditis,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.6667,0.6667,0.5556,0.1538,0.4444,1.0000
q0012,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0012.json,12,heart failure,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,1.0000
q0013,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0013.json,13,pulmonary embolism,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.4444,0.0667,0.4444,1.0000
q0014,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0014.json,14,mitral regurgitation,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.3333,0.6667,0.3125,0.6667,1.0000
q0015,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0015.json,15,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0016,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0016.json,16,mitral regurgitation,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.3333,0.6667,0.3125,0.6667,1.0000
q0017,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0017.json,17,cardiac arrest,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.0000,0.1111,0.0833,0.1111,1.0000
q0018,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0018.json,18,heart failure,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,1.0000
q0019,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0019.json,19,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0020,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0020.json,20,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0021,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0021.json,21,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0022,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0022.json,22,coarctation of the aorta,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,0.4444,0.5714,0.3333,1.0000
q0023,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0023.json,23,tetralogy of Fallot,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.6667,0.6667,0.4444,0.3125,0.2222,1.0000
q0024,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0024.json,24,atrial fibrillation,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,0.4444,0.6154,0.3333,1.0000
q0025,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0025.json,25,tetralogy of Fallot,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.6667,0.6667,0.4444,0.3125,0.2222,1.0000
q0026,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0026.json,26,angina,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,1.0000,0.7778,0.3636,0.6667,1.0000
q0027,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0027.json,27,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0028,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0028.json,28,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0029,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0029.json,29,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0030,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0030.json,30,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0031,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0031.json,31,aortic stenosis,matched,9,7,1.0000,1.0000,1.0000,0.1111,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.6667,0.3333,0.4444,0.5833,0.4444,1.0000
q0032,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0032.json,32,mitral regurgitation,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.3333,0.6667,0.3125,0.6667,1.0000
q0033,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0033.json,33,pulmonary embolism,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.4444,0.0667,0.4444,1.0000
q0034,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0034.json,34,atrial fibrillation,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,0.4444,0.6154,0.3333,1.0000
q0035,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0035.json,35,pulmonary embolism,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.4444,0.0667,0.4444,1.0000
q0036,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0036.json,36,aortic stenosis,matched,9,7,1.0000,1.0000,1.0000,0.1111,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.6667,0.3333,0.4444,0.5833,0.4444,1.0000
q0037,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0037.json,37,angina,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,1.0000,0.7778,0.3636,0.6667,1.0000
q0038,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0038.json,38,atrial fibrillation,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,0.4444,0.6154,0.3333,1.0000
q0039,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0039.json,39,coarctation of the aorta,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,0.4444,0.5714,0.3333,1.0000
q0040,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0040.json,40,aortic stenosis,matched,9,7,1.0000,1.0000,1.0000,0.1111,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.6667,0.3333,0.4444,0.5833,0.4444,1.0000
q0041,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0041.json,41,aortic stenosis,matched,9,7,1.0000,1.0000,1.0000,0.1111,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.6667,0.3333,0.4444,0.5833,0.4444,1.0000
q0042,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0042.json,42,valvular heart disease,matched,9,11,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.0000,0.0000,0.2222,0.2143,0.2222,1.0000
q0043,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0043.json,43,angina,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,1.0000,0.7778,0.3636,0.6667,1.0000
q0044,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0044.json,44,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0045,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0045.json,45,heart failure,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,1.0000
q0046,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0046.json,46,pulmonary embolism,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.4444,0.0667,0.4444,1.0000
q0047,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0047.json,47,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0048,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0048.json,48,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0049,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0049.json,49,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0050,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0050.json,50,patent ductus arteriosus,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.3333,0.4286,0.3333,1.0000
q0051,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0051.json,51,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0052,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0052.json,52,heart failure,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,1.0000
q0053,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0053.json,53,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0054,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0054.json,54,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0055,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0055.json,55,cardiac arrest,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.0000,0.1111,0.0833,0.1111,1.0000
q0056,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0056.json,56,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0057,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0057.json,57,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0058,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0058.json,58,heart failure,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,1.0000
q0059,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0059.json,59,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.6667,0.3333,0.3333,0.4444,0.6000,0.2222,1.0000
q0060,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0060.json,60,mitral regurgitation,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.3333,0.6667,0.3125,0.6667,1.0000
q0061,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0061.json,61,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0062,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0062.json,62,atrial fibrillation,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,0.4444,0.6154,0.3333,1.0000
q0063,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0063.json,63,coronary artery disease,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.3333,0.0000,0.3333,0.5833,0.2222,1.0000
q0064,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0064.json,64,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0065,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0065.json,65,heart failure,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,1.0000
q0066,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0066.json,66,pulmonary embolism,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.4444,0.0667,0.4444,1.0000
q0067,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0067.json,67,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0068,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0068.json,68,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0069,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0069.json,69,angina,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,1.0000,0.7778,0.3636,0.6667,1.0000
q0070,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0070.json,70,atrial fibrillation,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,0.4444,0.6154,0.3333,1.0000
q0071,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0071.json,71,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0072,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0072.json,72,pericarditis,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.6667,0.6667,0.5556,0.1538,0.4444,1.0000
q0073,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0073.json,73,patent ductus arteriosus,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.3333,0.4286,0.3333,1.0000
q0074,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0074.json,74,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0075,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0075.json,75,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0076,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0076.json,76,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.6667,0.3333,0.3333,0.4444,0.6000,0.2222,1.0000
q0077,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0077.json,77,cardiac arrest,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.0000,0.1111,0.0833,0.1111,1.0000
q0078,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0078.json,78,heart failure,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,1.0000
q0079,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0079.json,79,aortic stenosis,matched,9,7,1.0000,1.0000,1.0000,0.1111,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.6667,0.3333,0.4444,0.5833,0.4444,1.0000
q0080,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0080.json,80,mitral regurgitation,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.3333,0.6667,0.3125,0.6667,1.0000
q0081,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0081.json,81,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0082,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0082.json,82,hypertension,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.6667,0.6667,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.6000,0.2222,1.0000
q0083,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0083.json,83,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0084,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0084.json,84,coronary artery disease,matched,9,9,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.3333,0.0000,0.3333,0.5833,0.2222,1.0000
q0085,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0085.json,85,atrial fibrillation,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.3333,0.6667,0.4444,0.6154,0.3333,1.0000
q0086,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0086.json,86,pulmonary embolism,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.4444,0.0667,0.4444,1.0000
q0087,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0087.json,87,pulmonary embolism,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,0.0000,0.4444,0.0667,0.4444,1.0000
q0088,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0088.json,88,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0089,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0089.json,89,myocardial infarction,matched,9,10,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.0000,0.4444,0.5455,0.4444,1.0000
q0090,/Users/qishun/projects/opm-medical-qa/outputs/graphs/llm_relevant_batch/q0090.json,90,mitral regurgitation,matched,9,7,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.3333,0.6667,0.3125,0.6667,1.0000
